epoch,avg_train_mse_loss,avg_train_mae_loss,avg_train_mape_loss,avg_val_mse_loss,avg_val_mae_loss,avg_val_mape_loss
1,0.06275321749109444,0.015460881777189161,0.14272275104447646,0.03408097227414449,0.013502968351046245,0.11773449579874674
2,0.06277089094589201,0.015476416592833565,0.13528884020131074,0.034183017412821454,0.014118679861227671,0.10346524318059286
3,0.06285037971775657,0.015460518845627805,0.1200040487623861,0.034264390667279564,0.014524028698603312,0.09507396618525187
4,0.06296053477638301,0.015512572582705239,0.09594111636469965,0.034248410662015276,0.014451543490091959,0.09643309116363526
5,0.06296070872316936,0.01545624412143392,0.09204927552043479,0.03421137581268947,0.014272452394167582,0.10002262194951375
6,0.0629585927908578,0.015481302277667584,0.09132387531757563,0.03421657433112462,0.01430120865503947,0.09934985240300497
7,0.0629816165639419,0.015556539928073909,0.07727876880255442,0.03438301980495453,0.015043483674526214,0.08527994950612386
8,0.0629694310758486,0.015586763933125051,0.07285862900463316,0.03446910679340363,0.015397559106349944,0.07877434094746907
9,0.06295662769126642,0.01556134521049029,0.07139004942210522,0.03443003346522649,0.015248397986094156,0.081190292040507
10,0.06296459481830309,0.015514526485250046,0.06854325704924863,0.0345507542292277,0.015704890092213947,0.07376556793848674
11,0.06294989008920704,0.015546678578066523,0.06724110828198665,0.03455781787633896,0.015732425451278686,0.07328338623046875
12,0.06294921672873274,0.015558381417092664,0.06711473819935328,0.034566110869248705,0.015761983394622803,0.07285484472910563
13,0.06294588128265252,0.015497719324151137,0.06572894892110853,0.03458193043867747,0.015819665789604188,0.0719693382581075
14,0.06294452747925432,0.015527450776433757,0.06556090622632119,0.0345917080839475,0.015854774912198385,0.0714489459991455
15,0.06294373936289828,0.015543932861566648,0.06551078765945868,0.03459715197483699,0.015874252219994864,0.07116339604059856
16,0.06294104688205102,0.015502127774375778,0.06482686543495936,0.03460743625958761,0.015910989542802175,0.07063210010528564
17,0.0629403638622101,0.015523136456981203,0.06465596119597534,0.034614149729410806,0.015934873620669046,0.07029288609822591
18,0.06293997322308949,0.015536892014035608,0.06461196817265466,0.03461864193280538,0.015950751304626466,0.07007253964742025
19,0.06293776976030155,0.01550619407778074,0.06434081064127499,0.03462507277727127,0.015973588824272154,0.06975359916687011
20,0.06293745822699559,0.01552153840354816,0.06414113367390935,0.03462972442309062,0.015990067521731058,0.06952671607335409
21,0.06293726040056088,0.01553269331378086,0.06408270975883527,0.03463305334250132,0.01600177933772405,0.06936864455540975
22,0.06293552960820942,0.01550949081798073,0.06406995522491161,0.03463724007209142,0.016016674041748048,0.06916359265645346
23,0.06293538947735075,0.01552139891773319,0.06387420025359714,0.03464042991399765,0.016028002897898356,0.06900828282038371
24,0.06293530175466437,0.015530747001901902,0.0637863792338953,0.034642796218395236,0.016036359965801238,0.06889601151148478
25,0.06293393645776012,0.01551264261881441,0.06388234703833744,0.03464560161034266,0.01604646195967992,0.06875503063201904
26,0.06293387511345201,0.015522602504134751,0.06371275292873174,0.03464778264363607,0.01605435013771057,0.06864445606867473
27,0.06293384023222487,0.015530970291274053,0.06361800885690473,0.03464940637350082,0.016060222685337067,0.06856186787287394
28,0.0629327282648343,0.015516402265834766,0.06372627601594345,0.034651369353135425,0.01606749395529429,0.06845502456029257
29,0.06293268754889364,0.015525449290513263,0.06357671268965201,0.03465292404095332,0.016073366006215412,0.06836638847986858
30,0.06293266145720146,0.015533595078367827,0.06348540045884586,0.03465403467416763,0.016077664494514466,0.06829841136932373
31,0.06293168812208318,0.015521682039795873,0.06356655214361401,0.03465557247400284,0.01608366717894872,0.0682026187578837
32,0.06293162192040049,0.015530535421050371,0.0634306569155721,0.034656825661659243,0.01608873705069224,0.06811606089274089
33,0.06293154810524737,0.015539046877015352,0.06334991232505469,0.034657760461171465,0.016092750430107116,0.06804091930389404
34,0.06293061160603412,0.015529461240841407,0.06337766653593836,0.03465918600559235,0.016098619997501375,0.06793826818466187
35,0.06293046287133489,0.01553843698493247,0.06326217710268148,0.034660471479098,0.01610412895679474,0.06783584753672282
36,0.06293029510458849,0.015547443000468616,0.06320838280312088,0.03466153840223948,0.016108975807825724,0.06773771444956461
37,0.06292932472754943,0.015540119258920647,0.06316971885725355,0.03466307024161021,0.016115477681159972,0.06761898597081502
38,0.0629290701274951,0.015548971545555521,0.06310215223601774,0.034664540489514666,0.016121898094813028,0.06749600966771443
39,0.06292878645812261,0.015557983073283347,0.06309364579054379,0.03466588258743286,0.016127991179625194,0.067375381787618
40,0.06292778600836405,0.015552721477826714,0.06301328827837538,0.034667490422725676,0.016134900351365406,0.06725135644276937
41,0.06292745296382779,0.0155608113879557,0.06301107620848909,0.034669060508410135,0.016141784191131592,0.0671296755472819
42,0.06292709241697347,0.0155690091832736,0.06305611177881472,0.03467051138480504,0.016148345172405244,0.06700992981592814
43,0.06292613877849283,0.015565359193683452,0.0629832386762021,0.0346720481912295,0.016154966751734414,0.06689917246500651
44,0.0629257801993476,0.01557212759820874,0.06305103039814491,0.034673493603865305,0.01616131862004598,0.06680540839831034
45,0.0629254192648155,0.015578911653188414,0.06315613262091446,0.034674895306428276,0.01616759697596232,0.06673326293627421
46,0.06292457862300647,0.01557638657421434,0.06311849889455011,0.034676110247770946,0.01617291569709778,0.06668189962704976
47,0.06292426637624307,0.015581641908186098,0.06322310155377307,0.03467733263969421,0.016178289552529652,0.06665121912956237
48,0.06292394022520421,0.015586868150035106,0.0633441765442862,0.034678508341312406,0.01618353873491287,0.06665242115656535
